DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,CANTIDAD,DATO_PRELIMINAR
05/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,5589,NO
06/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,8246,NO
06/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,4938,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,530,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10026,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,13393,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,14924,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2272,NO
06/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,10506,NO
06/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,11589,NO
06/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,4664,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,9267,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,19401,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,14165,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,6100,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,8002,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,9525,NO
06/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,16775,NO
06/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,12198,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,19189,NO
