DATE,DAY,MONTH,YEAR,COMPANY,LINE_ID,TICKETS
2020-01-06,6,1,2020,EL LIBERTADOR,562,16775
2020-01-06,6,1,2020,EL LIBERTADOR,563,12198
2020-01-06,6,1,2020,25 DE MAYO,571,19189
2020-01-06,6,1,2020,25 DE MAYO,573,15653
2020-01-06,6,1,2020,25 DE MAYO,581,7566
2020-01-06,6,1,2020,25 DE MAYO,591,10444
2020-01-06,6,1,2020,25 DE MAYO,593,4624
2020-01-06,6,1,2020,BATAN,715,8246
2020-01-06,6,1,2020,PERALTA RAMOS,717,5014
2020-01-07,7,1,2020,25 DE MAYO,501,903
2020-01-07,7,1,2020,PERALTA RAMOS,511,38085
2020-01-07,7,1,2020,PERALTA RAMOS,512,5777
2020-01-07,7,1,2020,25 DE MAYO,521,10280
2020-01-07,7,1,2020,25 DE MAYO,522,12985
2020-01-07,7,1,2020,25 DE MAYO,523,17521
2020-01-07,7,1,2020,25 DE MAYO,525,2571
2020-01-07,7,1,2020,12 DE OCTUBRE,531,10813
2020-01-07,7,1,2020,12 DE OCTUBRE,532,12818
2020-01-07,7,1,2020,12 DE OCTUBRE,533,6116
2020-01-07,7,1,2020,25 DE MAYO,541,10114
2020-01-07,7,1,2020,25 DE MAYO,542,15183
2020-01-07,7,1,2020,25 DE MAYO,551,20411
2020-01-07,7,1,2020,25 DE MAYO,552,15368
2020-01-07,7,1,2020,25 DE MAYO,553,6732
2020-01-07,7,1,2020,25 DE MAYO,554,8682
2020-01-07,7,1,2020,25 DE MAYO,555,12897
2020-01-07,7,1,2020,EL LIBERTADOR,562,16933
2020-01-07,7,1,2020,EL LIBERTADOR,563,13966
2020-01-07,7,1,2020,25 DE MAYO,571,21272
2020-01-07,7,1,2020,25 DE MAYO,573,17352
2020-01-07,7,1,2020,25 DE MAYO,581,11254
2020-01-07,7,1,2020,25 DE MAYO,591,10035
2020-01-07,7,1,2020,25 DE MAYO,593,6672
2020-01-07,7,1,2020,BATAN,715,9167
2020-01-07,7,1,2020,PERALTA RAMOS,717,5834
2020-01-08,8,1,2020,25 DE MAYO,501,900
2020-01-08,8,1,2020,PERALTA RAMOS,511,37249
