DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
3,525,1,0,0,2024,-0.900968867902419,0.9587178169872964,0.8660254037844387
4,525,1,0,0,2024,-0.9009688679024191,0.9536809966304457,0.8660254037844387
5,525,1,0,0,2024,-0.2225209339563146,0.9483615800121715,0.8660254037844387
6,525,0,0,0,2024,0.6234898018587334,0.9427611433904207,0.8660254037844387
7,525,0,0,0,2024,1.0,0.9368813462954315,0.8660254037844387
1,525,1,0,0,2024,0.6234898018587336,0.9307239310379795,0.8660254037844387
2,525,1,0,0,2024,-0.22252093395631434,0.9242907221930933,0.8660254037844387
3,525,1,0,0,2024,-0.900968867902419,0.9175836260593937,0.8660254037844387
4,525,1,0,0,2024,-0.9009688679024191,0.9106046300942162,0.8660254037844387
5,525,1,0,0,2024,-0.2225209339563146,0.9033558023246845,0.8660254037844387
6,525,0,0,0,2024,0.6234898018587334,0.895839290734909,0.8660254037844387
7,525,0,0,0,2024,1.0,0.8880573226294932,0.8660254037844387
1,525,1,0,0,2024,0.6234898018587336,0.8800122039735357,0.8660254037844387
2,525,1,0,0,2024,-0.22252093395631434,0.8717063187093218,0.8660254037844387
3,525,1,0,0,2024,-0.900968867902419,0.8631421280499114,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.854322169749827,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.8452490573530633,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.8359254794186372,0.49999999999999994
7,525,0,0,0,2024,1.0,0.8263541987239096,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.8165380514459161,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.8064799463209448,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.7961828637826158,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.7856498550787147,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.7748840413670407,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.7638886127905428,0.49999999999999994
7,525,0,0,0,2024,1.0,0.7526668275320085,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.7412220108485958,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.7295575540864875,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.717676913675962,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.705583610107178,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.6932812268869777,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.6807734094770161,0.49999999999999994
7,525,0,0,0,2024,1.0,0.6680638642135335,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.6551563572090853,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.6420547132365637,0.49999999999999994
